"Method","C_index_M1","C_index_M1_se","C_index_M1_CI","C_index_M1_n","C_index_M2","C_index_M2_se","C_index_M2_CI","C_index_M2_n","C_index_M2_minus_M1_p","C_index_M2_minus_M1_z","C_index_M2_minus_M1_compareC_n","C_index_M2_minus_M1"
"MLE (unmarked)",0.840025698682943,0.0114689698565843,"0.840 (0.818-0.863)",3132,0.866160904538016,0.0097350111564272,"0.866 (0.847-0.885)",3131,1.44755108255623e-05,4.33652175160837,3131,0.0261352058550737
"MLE (marked)",0.83983542958808,0.0114311022368932,"0.840 (0.817-0.862)",3132,0.866481022796375,0.00967733776424438,"0.866 (0.848-0.885)",3131,1.2978477090364e-05,4.36046764754205,3131,0.0266455932082953
"Dispersion (raw)",0.841253799204329,0.0113351987695495,"0.841 (0.819-0.863)",3132,0.865783931299408,0.00974579278695577,"0.866 (0.847-0.885)",3131,4.51143973614343e-05,4.07959414019663,3131,0.024530132095079
"Dispersion (adj)",0.83987249499617,0.0114192419553911,"0.840 (0.817-0.862)",3132,0.867251036985401,0.00966048528405955,"0.867 (0.848-0.886)",3131,2.39437208258142e-05,4.22453258435044,3131,0.0273785419892307
"Dispersion (marks)",0.843711235760706,0.0109994650128334,"0.844 (0.822-0.865)",3132,0.865631906026133,0.00979677407114405,"0.866 (0.846-0.885)",3131,0.00012852349893433,3.82927084085389,3131,0.0219206702654278
"Dispersion (adj+marks)",0.839960216461983,0.0114317992241064,"0.840 (0.818-0.862)",3132,0.866541585710119,0.00978485762224635,"0.867 (0.847-0.886)",3131,2.67997193985625e-05,4.19908374904854,3131,0.0265813692481354
