"Pair","Unmarked_Method","Marked_Method","M1_C_index_unmarked","M1_C_index_marked","M1_marked_minus_unmarked","M1_z","M1_p","M1_compareC_n","M2_C_index_unmarked","M2_C_index_marked","M2_marked_minus_unmarked","M2_z","M2_p","M2_compareC_n"
"MLE: marked - unmarked","MLE (unmarked)","MLE (marked)",0.824176774353509,0.822077625784837,-0.00209914856867233,-2.24003197028996,0.0250888474179998,2560,0.854688914516211,0.854808717039982,0.000119802523770418,0.415733116838296,0.677605305222573,2560
"Dispersion: marks - raw","Dispersion (raw)","Dispersion (marks)",0.826181122664241,0.828715727362792,0.00253460469855071,2.23252613253311,0.0255802100462295,2560,0.854885807359625,0.854608698913339,-0.000277108446286256,-0.661856747014479,0.508063033988591,2560
"Dispersion: adj+marks - adj","Dispersion (adj)","Dispersion (adj+marks)",0.826070695990157,0.828368820924396,0.00229812493423887,2.25742960071811,0.0239812438316549,2560,0.854963939440345,0.85512437064609,0.000160431205744715,0.463492049763199,0.643011712169388,2560
