"Pair","Unmarked_Method","Marked_Method","M1_C_index_unmarked","M1_C_index_marked","M1_marked_minus_unmarked","M1_z","M1_p","M1_compareC_n","M2_C_index_unmarked","M2_C_index_marked","M2_marked_minus_unmarked","M2_z","M2_p","M2_compareC_n"
"MLE: marked - unmarked","MLE (unmarked)","MLE (marked)",0.840025698682943,0.83983542958808,-0.000190269094862638,-0.204280265361322,0.838134490765252,3132,0.866160904538016,0.866481022796375,0.00032011825835887,1.31713917931852,0.187791976301519,3131
"Dispersion: marks - raw","Dispersion (raw)","Dispersion (marks)",0.841253799204329,0.843711235760706,0.00245743655637654,2.25906374491286,0.0238794199567796,3132,0.865783931299408,0.865631906026133,-0.000152025273274736,-0.614591618779001,0.538824450788251,3131
"Dispersion: adj+marks - adj","Dispersion (adj)","Dispersion (adj+marks)",0.83987249499617,0.839960216461983,8.77214658133729e-05,0.122751594952292,0.902303805905974,3132,0.867251036985401,0.866541585710119,-0.000709451275281991,-0.874458875948845,0.381868406411487,3131
