"Method","n_M1","lambda_M1","n_M2","lambda_M2","Peak30_M2"
"MLE (unmarked)","0.928 (0.776-1.108) p=0.4071","0.696 (0.588-0.823)*** p=0.0000","1.052 (0.917-1.206) p=0.4704","1.007 (0.809-1.252) p=0.9517","0.492 (0.362-0.670)*** p=0.0000"
"MLE (marked)","1.063 (0.897-1.259) p=0.4808","0.687 (0.576-0.818)*** p=0.0000","1.099 (0.951-1.271) p=0.1990","1.006 (0.814-1.243) p=0.9559","0.504 (0.365-0.695)*** p=0.0000"
"Dispersion (raw)","0.847 (0.706-1.018). p=0.0765","0.650 (0.525-0.805)*** p=0.0001","1.101 (0.946-1.283) p=0.2140","1.073 (0.838-1.374) p=0.5748","0.477 (0.348-0.655)*** p=0.0000"
"Dispersion (adj)","1.127 (0.963-1.319) p=0.1364","0.687 (0.579-0.815)*** p=0.0000","1.309 (1.127-1.521)*** p=0.0004","1.043 (0.849-1.282) p=0.6890","0.449 (0.327-0.617)*** p=0.0000"
"Dispersion (marks)","0.768 (0.654-0.902)** p=0.0013","0.649 (0.536-0.786)*** p=0.0000","1.046 (0.902-1.213) p=0.5497","1.046 (0.810-1.350) p=0.7301","0.479 (0.341-0.671)*** p=0.0000"
"Dispersion (adj+marks)","1.017 (0.875-1.181) p=0.8299","0.688 (0.585-0.810)*** p=0.0000","1.218 (1.068-1.388)** p=0.0032","1.028 (0.833-1.270) p=0.7966","0.443 (0.314-0.626)*** p=0.0000"
